Date,Close
3-Mar-15,"$2,107.78 "
2-Mar-15,"$2,117.39 "
27-Feb-15,"$2,104.50 "
26-Feb-15,"$2,110.74 "
25-Feb-15,"$2,113.86 "
24-Feb-15,"$2,115.48 "
23-Feb-15,"$2,109.66 "
20-Feb-15,"$2,110.30 "
19-Feb-15,"$2,097.45 "
18-Feb-15,"$2,099.68 "
17-Feb-15,"$2,100.34 "
13-Feb-15,"$2,096.99 "
12-Feb-15,"$2,088.48 "
11-Feb-15,"$2,068.53 "
10-Feb-15,"$2,068.59 "
9-Feb-15,"$2,046.74 "
6-Feb-15,"$2,055.47 "
5-Feb-15,"$2,062.52 "
4-Feb-15,"$2,041.51 "
3-Feb-15,"$2,050.03 "
2-Feb-15,"$2,020.85 "
30-Jan-15,"$1,994.99 "
29-Jan-15,"$2,021.25 "
28-Jan-15,"$2,002.16 "
27-Jan-15,"$2,029.55 "
26-Jan-15,"$2,057.09 "
23-Jan-15,"$2,051.82 "
22-Jan-15,"$2,063.15 "
21-Jan-15,"$2,032.12 "
20-Jan-15,"$2,022.55 "
16-Jan-15,"$2,019.42 "
15-Jan-15,"$1,992.67 "
14-Jan-15,"$2,011.27 "
13-Jan-15,"$2,023.03 "
12-Jan-15,"$2,028.26 "
9-Jan-15,"$2,044.81 "
8-Jan-15,"$2,062.14 "
7-Jan-15,"$2,025.90 "
6-Jan-15,"$2,002.61 "
5-Jan-15,"$2,020.58 "
2-Jan-15,"$2,058.20 "
31-Dec-14,"$2,058.90 "
30-Dec-14,"$2,080.35 "
29-Dec-14,"$2,090.57 "
26-Dec-14,"$2,088.77 "
24-Dec-14,"$2,081.88 "
23-Dec-14,"$2,082.17 "
22-Dec-14,"$2,078.54 "
19-Dec-14,"$2,070.65 "
18-Dec-14,"$2,061.23 "
17-Dec-14,"$2,012.89 "
16-Dec-14,"$1,972.74 "
15-Dec-14,"$1,989.63 "
12-Dec-14,"$2,002.33 "
11-Dec-14,"$2,035.33 "
10-Dec-14,"$2,026.14 "
9-Dec-14,"$2,059.82 "
8-Dec-14,"$2,060.31 "
5-Dec-14,"$2,075.37 "
4-Dec-14,"$2,071.92 "
3-Dec-14,"$2,074.33 "
2-Dec-14,"$2,066.55 "
1-Dec-14,"$2,053.44 "
28-Nov-14,"$2,067.56 "
26-Nov-14,"$2,072.83 "
25-Nov-14,"$2,067.03 "
24-Nov-14,"$2,069.41 "
21-Nov-14,"$2,063.50 "
20-Nov-14,"$2,052.75 "
19-Nov-14,"$2,048.72 "
18-Nov-14,"$2,051.80 "
17-Nov-14,"$2,041.32 "
14-Nov-14,"$2,039.82 "
13-Nov-14,"$2,039.33 "
12-Nov-14,"$2,038.25 "
11-Nov-14,"$2,039.68 "
10-Nov-14,"$2,038.26 "
7-Nov-14,"$2,031.92 "
6-Nov-14,"$2,031.21 "
5-Nov-14,"$2,023.57 "
4-Nov-14,"$2,012.10 "
3-Nov-14,"$2,017.81 "
31-Oct-14,"$2,018.05 "
30-Oct-14,"$1,994.65 "
29-Oct-14,"$1,982.30 "
28-Oct-14,"$1,985.05 "
27-Oct-14,"$1,961.63 "
24-Oct-14,"$1,964.58 "
23-Oct-14,"$1,950.82 "
22-Oct-14,"$1,927.11 "
21-Oct-14,"$1,941.28 "
20-Oct-14,"$1,904.01 "
17-Oct-14,"$1,886.76 "
16-Oct-14,"$1,862.76 "
15-Oct-14,"$1,862.49 "
14-Oct-14,"$1,877.70 "
13-Oct-14,"$1,874.74 "
10-Oct-14,"$1,906.13 "
9-Oct-14,"$1,928.21 "
8-Oct-14,"$1,968.89 "
7-Oct-14,"$1,935.10 "
6-Oct-14,"$1,964.82 "
3-Oct-14,"$1,967.90 "
2-Oct-14,"$1,946.17 "
1-Oct-14,"$1,946.16 "
30-Sep-14,"$1,972.29 "
29-Sep-14,"$1,977.80 "
26-Sep-14,"$1,982.85 "
25-Sep-14,"$1,965.99 "
24-Sep-14,"$1,998.30 "
23-Sep-14,"$1,982.77 "
22-Sep-14,"$1,994.29 "
19-Sep-14,"$2,010.40 "
18-Sep-14,"$2,011.36 "
17-Sep-14,"$2,001.57 "
16-Sep-14,"$1,998.98 "
15-Sep-14,"$1,984.13 "
12-Sep-14,"$1,985.54 "
11-Sep-14,"$1,997.45 "
10-Sep-14,"$1,995.69 "
9-Sep-14,"$1,988.44 "
8-Sep-14,"$2,001.54 "
5-Sep-14,"$2,007.71 "
4-Sep-14,"$1,997.65 "
3-Sep-14,"$2,000.72 "
2-Sep-14,"$2,002.28 "
29-Aug-14,"$2,003.37 "
28-Aug-14,"$1,996.74 "
27-Aug-14,"$2,000.12 "
26-Aug-14,"$2,000.02 "
25-Aug-14,"$1,997.92 "
22-Aug-14,"$1,988.40 "
21-Aug-14,"$1,992.37 "
20-Aug-14,"$1,986.51 "
19-Aug-14,"$1,981.60 "
18-Aug-14,"$1,971.74 "
15-Aug-14,"$1,955.06 "
14-Aug-14,"$1,955.18 "
13-Aug-14,"$1,946.72 "
12-Aug-14,"$1,933.75 "
11-Aug-14,"$1,936.92 "
8-Aug-14,"$1,931.59 "
7-Aug-14,"$1,909.57 "
6-Aug-14,"$1,920.24 "
5-Aug-14,"$1,920.21 "
4-Aug-14,"$1,938.99 "
1-Aug-14,"$1,925.15 "
31-Jul-14,"$1,930.67 "
30-Jul-14,"$1,970.07 "
29-Jul-14,"$1,969.95 "
28-Jul-14,"$1,978.91 "
25-Jul-14,"$1,978.34 "
24-Jul-14,"$1,987.98 "
23-Jul-14,"$1,987.01 "
22-Jul-14,"$1,983.53 "
21-Jul-14,"$1,973.63 "
18-Jul-14,"$1,978.22 "
17-Jul-14,"$1,958.12 "
16-Jul-14,"$1,981.57 "
15-Jul-14,"$1,973.28 "
14-Jul-14,"$1,977.10 "
11-Jul-14,"$1,967.57 "
10-Jul-14,"$1,964.68 "
9-Jul-14,"$1,972.83 "
8-Jul-14,"$1,963.71 "
7-Jul-14,"$1,977.65 "
3-Jul-14,"$1,985.44 "
2-Jul-14,"$1,974.62 "
1-Jul-14,"$1,973.32 "
30-Jun-14,"$1,960.23 "
27-Jun-14,"$1,960.96 "
26-Jun-14,"$1,957.22 "
25-Jun-14,"$1,959.53 "
24-Jun-14,"$1,949.98 "
23-Jun-14,"$1,962.61 "
20-Jun-14,"$1,962.87 "
19-Jun-14,"$1,959.48 "
18-Jun-14,"$1,956.98 "
17-Jun-14,"$1,941.99 "
16-Jun-14,"$1,937.78 "
13-Jun-14,"$1,936.16 "
12-Jun-14,"$1,930.11 "
11-Jun-14,"$1,943.89 "
10-Jun-14,"$1,950.79 "
9-Jun-14,"$1,951.27 "
6-Jun-14,"$1,949.44 "
5-Jun-14,"$1,940.46 "
4-Jun-14,"$1,927.88 "
3-Jun-14,"$1,924.24 "
2-Jun-14,"$1,924.97 "
30-May-14,"$1,923.57 "
29-May-14,"$1,920.03 "
28-May-14,"$1,909.78 "
27-May-14,"$1,911.91 "
23-May-14,"$1,900.53 "
22-May-14,"$1,892.49 "
21-May-14,"$1,888.03 "
20-May-14,"$1,872.83 "
19-May-14,"$1,885.09 "
16-May-14,"$1,877.86 "
15-May-14,"$1,870.85 "
14-May-14,"$1,888.53 "
13-May-14,"$1,897.45 "
12-May-14,"$1,896.65 "
9-May-14,"$1,878.48 "
8-May-14,"$1,875.63 "
7-May-14,"$1,878.21 "
6-May-14,"$1,867.72 "
5-May-14,"$1,884.66 "
2-May-14,"$1,881.14 "
1-May-14,"$1,883.68 "
30-Apr-14,"$1,883.95 "
29-Apr-14,"$1,878.33 "
28-Apr-14,"$1,869.43 "
25-Apr-14,"$1,863.40 "
24-Apr-14,"$1,878.61 "
23-Apr-14,"$1,875.39 "
22-Apr-14,"$1,879.55 "
21-Apr-14,"$1,871.89 "
17-Apr-14,"$1,864.85 "
16-Apr-14,"$1,862.31 "
15-Apr-14,"$1,842.98 "
14-Apr-14,"$1,830.61 "
11-Apr-14,"$1,815.69 "
10-Apr-14,"$1,833.08 "
9-Apr-14,"$1,872.18 "
8-Apr-14,"$1,851.96 "
